,home_team.id,home_team.name,home_team.logo,home_team_Shots on Goal,home_team_Shots off Goal,home_team_Total Shots,home_team_Blocked Shots,home_team_Shots insidebox,home_team_Shots outsidebox,home_team_Fouls,home_team_Corner Kicks,home_team_Offsides,home_team_Ball Possession,home_team_Yellow Cards,home_team_Red Cards,home_team_Goalkeeper Saves,home_team_Total passes,home_team_Passes accurate,home_team_Passes %,away_team.id,away_team.name,away_team.logo,away_team_Shots on Goal,away_team_Shots off Goal,away_team_Total Shots,away_team_Blocked Shots,away_team_Shots insidebox,away_team_Shots outsidebox,away_team_Fouls,away_team_Corner Kicks,away_team_Offsides,away_team_Ball Possession,away_team_Yellow Cards,away_team_Red Cards,away_team_Goalkeeper Saves,away_team_Total passes,away_team_Passes accurate,away_team_Passes %
0,2.0,France,https://media.api-sports.io/football/teams/2.png,4.0,4.0,9.0,1.0,6.0,3.0,21.0,0.0,0.0,39%,3.0,0.0,1.0,344.0,280.0,81%,26.0,Argentina,https://media.api-sports.io/football/teams/26.png,4.0,1.0,10.0,5.0,6.0,4.0,15.0,4.0,1.0,61%,5.0,0.0,0.0,512.0,444.0,87%
1,7.0,Uruguay,https://media.api-sports.io/football/teams/7.png,3.0,2.0,5.0,0.0,3.0,2.0,13.0,2.0,0.0,32%,0.0,0.0,4.0,273.0,183.0,67%,27.0,Portugal,https://media.api-sports.io/football/teams/27.png,5.0,8.0,20.0,7.0,6.0,14.0,13.0,10.0,1.0,68%,1.0,0.0,1.0,544.0,471.0,87%
2,9.0,Spain,https://media.api-sports.io/football/teams/9.png,9.0,7.0,23.0,7.0,14.0,9.0,5.0,6.0,1.0,78%,1.0,0.0,0.0,1115.0,1008.0,90%,4.0,Russia,https://media.api-sports.io/football/teams/4.png,1.0,4.0,7.0,2.0,5.0,2.0,19.0,5.0,1.0,22%,2.0,0.0,9.0,291.0,192.0,66%
3,3.0,Croatia,https://media.api-sports.io/football/teams/3.png,6.0,7.0,20.0,7.0,8.0,12.0,5.0,5.0,2.0,53%,0.0,0.0,2.0,602.0,482.0,80%,21.0,Denmark,https://media.api-sports.io/football/teams/21.png,3.0,9.0,14.0,2.0,6.0,8.0,19.0,4.0,0.0,47%,1.0,0.0,5.0,530.0,419.0,79%
4,6.0,Brazil,https://media.api-sports.io/football/teams/6.png,10.0,6.0,20.0,4.0,14.0,6.0,6.0,8.0,0.0,48%,2.0,0.0,1.0,383.0,320.0,84%,16.0,Mexico,https://media.api-sports.io/football/teams/16.png,1.0,5.0,14.0,8.0,7.0,7.0,17.0,7.0,2.0,52%,4.0,0.0,8.0,406.0,350.0,86%
5,1.0,Belgium,https://media.api-sports.io/football/teams/1.png,8.0,9.0,24.0,7.0,14.0,10.0,13.0,10.0,1.0,57%,0.0,0.0,3.0,595.0,515.0,87%,12.0,Japan,https://media.api-sports.io/football/teams/12.png,4.0,4.0,11.0,3.0,7.0,4.0,9.0,6.0,1.0,43%,1.0,0.0,5.0,450.0,366.0,81%
6,5.0,Sweden,https://media.api-sports.io/football/teams/5.png,3.0,6.0,12.0,3.0,5.0,7.0,11.0,3.0,1.0,32%,1.0,0.0,4.0,274.0,188.0,69%,15.0,Switzerland,https://media.api-sports.io/football/teams/15.png,4.0,4.0,18.0,10.0,8.0,10.0,13.0,11.0,0.0,68%,2.0,1.0,2.0,556.0,483.0,87%
7,8.0,Colombia,https://media.api-sports.io/football/teams/8.png,4.0,7.0,14.0,3.0,7.0,7.0,23.0,2.0,1.0,47%,6.0,0.0,1.0,524.0,406.0,77%,10.0,England,https://media.api-sports.io/football/teams/10.png,2.0,9.0,16.0,5.0,10.0,6.0,13.0,7.0,2.0,53%,2.0,0.0,3.0,578.0,465.0,80%
8,7.0,Uruguay,https://media.api-sports.io/football/teams/7.png,4.0,6.0,11.0,1.0,6.0,5.0,17.0,4.0,0.0,38%,2.0,0.0,0.0,311.0,199.0,64%,2.0,France,https://media.api-sports.io/football/teams/2.png,2.0,8.0,11.0,1.0,3.0,8.0,15.0,3.0,0.0,62%,2.0,0.0,4.0,516.0,417.0,81%
9,6.0,Brazil,https://media.api-sports.io/football/teams/6.png,9.0,7.0,27.0,11.0,16.0,11.0,14.0,8.0,1.0,58%,2.0,0.0,2.0,521.0,463.0,89%,1.0,Belgium,https://media.api-sports.io/football/teams/1.png,3.0,4.0,9.0,2.0,4.0,5.0,16.0,4.0,0.0,42%,2.0,0.0,9.0,374.0,301.0,80%
10,5.0,Sweden,https://media.api-sports.io/football/teams/5.png,3.0,2.0,6.0,1.0,4.0,2.0,10.0,1.0,2.0,42%,2.0,0.0,0.0,366.0,265.0,72%,10.0,England,https://media.api-sports.io/football/teams/10.png,2.0,4.0,12.0,6.0,7.0,5.0,7.0,6.0,1.0,58%,1.0,0.0,3.0,502.0,401.0,80%
11,4.0,Russia,https://media.api-sports.io/football/teams/4.png,5.0,7.0,13.0,1.0,10.0,3.0,25.0,6.0,1.0,35%,1.0,0.0,1.0,400.0,259.0,65%,3.0,Croatia,https://media.api-sports.io/football/teams/3.png,3.0,11.0,18.0,4.0,12.0,6.0,18.0,8.0,0.0,65%,4.0,0.0,3.0,728.0,592.0,81%
12,2.0,France,https://media.api-sports.io/football/teams/2.png,5.0,8.0,19.0,6.0,12.0,7.0,6.0,4.0,1.0,36%,2.0,0.0,3.0,345.0,289.0,84%,1.0,Belgium,https://media.api-sports.io/football/teams/1.png,3.0,5.0,9.0,1.0,6.0,3.0,16.0,5.0,1.0,64%,3.0,0.0,4.0,594.0,542.0,91%
13,3.0,Croatia,https://media.api-sports.io/football/teams/3.png,7.0,11.0,22.0,4.0,12.0,10.0,23.0,8.0,1.0,55%,2.0,0.0,0.0,590.0,474.0,80%,10.0,England,https://media.api-sports.io/football/teams/10.png,2.0,6.0,11.0,3.0,6.0,5.0,14.0,4.0,3.0,45%,1.0,0.0,5.0,497.0,379.0,76%
14,1.0,Belgium,https://media.api-sports.io/football/teams/1.png,4.0,3.0,12.0,5.0,10.0,2.0,11.0,4.0,1.0,42%,1.0,0.0,5.0,485.0,420.0,87%,10.0,England,https://media.api-sports.io/football/teams/10.png,6.0,7.0,15.0,2.0,9.0,6.0,4.0,5.0,0.0,58%,2.0,0.0,2.0,674.0,619.0,92%
15,2.0,France,https://media.api-sports.io/football/teams/2.png,6.0,0.0,7.0,1.0,2.0,5.0,13.0,2.0,1.0,34%,2.0,0.0,2.0,289.0,198.0,69%,3.0,Croatia,https://media.api-sports.io/football/teams/3.png,4.0,9.0,14.0,1.0,9.0,5.0,13.0,6.0,1.0,66%,1.0,0.0,3.0,528.0,440.0,83%
16,4.0,Russia,https://media.api-sports.io/football/teams/4.png,7.0,3.0,14.0,4.0,11.0,3.0,22.0,6.0,3.0,38%,1.0,0.0,0.0,345.0,251.0,73%,23.0,Saudi Arabia,https://media.api-sports.io/football/teams/23.png,0.0,3.0,6.0,3.0,4.0,2.0,10.0,2.0,1.0,62%,1.0,0.0,2.0,557.0,451.0,81%
17,32.0,Egypt,https://media.api-sports.io/football/teams/32.png,3.0,3.0,8.0,2.0,4.0,4.0,12.0,0.0,1.0,41%,2.0,0.0,4.0,424.0,313.0,74%,7.0,Uruguay,https://media.api-sports.io/football/teams/7.png,5.0,6.0,15.0,4.0,8.0,7.0,6.0,5.0,1.0,59%,0.0,0.0,3.0,588.0,503.0,86%
18,31.0,Morocco,https://media.api-sports.io/football/teams/31.png,3.0,6.0,13.0,4.0,9.0,4.0,22.0,5.0,0.0,67%,1.0,0.0,2.0,461.0,374.0,81%,22.0,Iran,https://media.api-sports.io/football/teams/22.png,2.0,6.0,9.0,1.0,6.0,4.0,14.0,2.0,0.0,33%,3.0,0.0,3.0,218.0,127.0,58%
19,27.0,Portugal,https://media.api-sports.io/football/teams/27.png,3.0,3.0,9.0,3.0,3.0,6.0,12.0,4.0,1.0,33%,1.0,0.0,3.0,372.0,307.0,83%,9.0,Spain,https://media.api-sports.io/football/teams/9.png,6.0,5.0,13.0,2.0,9.0,4.0,10.0,5.0,3.0,67%,1.0,0.0,0.0,759.0,700.0,92%
20,2.0,France,https://media.api-sports.io/football/teams/2.png,5.0,5.0,12.0,2.0,7.0,6.0,16.0,5.0,0.0,55%,1.0,0.0,1.0,508.0,426.0,84%,20.0,Australia,https://media.api-sports.io/football/teams/20.png,1.0,3.0,6.0,2.0,4.0,2.0,19.0,1.0,0.0,45%,3.0,0.0,4.0,407.0,321.0,79%
21,26.0,Argentina,https://media.api-sports.io/football/teams/26.png,7.0,10.0,27.0,10.0,12.0,15.0,10.0,10.0,0.0,77%,0.0,0.0,1.0,752.0,673.0,89%,18.0,Iceland,https://media.api-sports.io/football/teams/18.png,2.0,5.0,8.0,1.0,5.0,3.0,15.0,2.0,0.0,23%,0.0,0.0,6.0,209.0,132.0,63%
22,30.0,Peru,https://media.api-sports.io/football/teams/30.png,6.0,9.0,17.0,2.0,13.0,4.0,10.0,3.0,5.0,53%,1.0,0.0,2.0,418.0,341.0,82%,21.0,Denmark,https://media.api-sports.io/football/teams/21.png,3.0,5.0,10.0,2.0,4.0,6.0,18.0,7.0,3.0,47%,2.0,0.0,6.0,364.0,289.0,79%
