,home_team.id,home_team.name,home_team_Shots on Goal,home_team_Shots off Goal,home_team_Total Shots,home_team_Blocked Shots,home_team_Shots insidebox,home_team_Shots outsidebox,home_team_Fouls,home_team_Corner Kicks,home_team_Offsides,home_team_Ball Possession,home_team_Yellow Cards,home_team_Red Cards,home_team_Goalkeeper Saves,home_team_Total passes,home_team_Passes accurate,home_team_Passes %,away_team.id,away_team.name,away_team_Shots on Goal,away_team_Shots off Goal,away_team_Total Shots,away_team_Blocked Shots,away_team_Shots insidebox,away_team_Shots outsidebox,away_team_Fouls,away_team_Corner Kicks,away_team_Offsides,away_team_Ball Possession,away_team_Yellow Cards,away_team_Red Cards,away_team_Goalkeeper Saves,away_team_Total passes,away_team_Passes accurate,away_team_Passes %,home_team_goals,away_team_goals,home_team_result,away_team_result,home_team.Rank,home_team_Avg. age,home_team.Total value,home_team.Points,away_team.Rank,away_team. age,away_team.Total value,away_team.Points
0,2,France,4,4,9,1,6,3,21,0,0,39%,3,0,1,344,280,81%,26,Argentina,4,1,10,5,6,4,15,4,1,61%,5,0,0,512,444,87%,4,3,W,L,3,26.9,949000000.0,1786,4,26.2,581700000.0,1767
1,19,Nigeria,3,5,9,1,4,5,20,3,0,33%,2,0,2,283,186,66%,26,Argentina,4,2,8,2,7,1,15,5,2,67%,3,0,2,572,471,82%,1,2,L,W,32,26.3,268750000.0,1510,4,26.2,581700000.0,1767
2,2,France,5,8,19,6,12,7,6,4,1,36%,2,0,3,345,289,84%,1,Belgium,3,5,9,1,6,3,16,5,1,64%,3,0,4,594,542,91%,1,0,W,L,3,26.9,949000000.0,1786,1,26.1,381000000.0,1828
3,6,Brazil,9,7,27,11,16,11,14,8,1,58%,2,0,2,521,463,89%,1,Belgium,3,4,9,2,4,5,16,4,0,42%,2,0,9,374,301,80%,1,2,L,W,2,27.7,899500000.0,1823,1,26.1,381000000.0,1828
4,10,England,2,6,11,3,6,5,11,7,3,46%,0,0,2,467,410,88%,1,Belgium,4,3,14,7,9,5,14,2,1,54%,2,0,1,547,477,87%,0,1,L,W,5,25.2,1260000000.0,1756,1,26.1,381000000.0,1828
5,2,France,6,0,7,1,2,5,13,2,1,34%,2,0,2,289,198,69%,3,Croatia,4,9,14,1,9,5,13,6,1,66%,1,0,3,528,440,83%,4,2,W,L,3,26.9,949000000.0,1786,15,27.7,314500000.0,1621
6,4,Russia,5,7,13,1,10,3,25,6,1,35%,1,0,1,400,259,65%,3,Croatia,3,11,18,4,12,6,18,8,0,65%,4,0,3,728,592,81%,2,2,L,W,35,26.9,121300000.0,1493,15,27.7,314500000.0,1621
7,26,Argentina,3,3,10,4,8,2,16,5,3,57%,3,0,2,499,397,80%,3,Croatia,5,6,14,3,7,7,22,2,3,43%,4,0,3,367,278,76%,0,3,L,W,4,26.2,581700000.0,1767,15,27.7,314500000.0,1621
8,18,Iceland,6,8,16,2,12,4,10,10,1,38%,3,0,0,314,226,72%,3,Croatia,2,8,14,4,4,10,11,5,2,62%,2,0,5,518,447,86%,1,2,L,W,60,24.7,7350000.0,1383,15,27.7,314500000.0,1621
9,2,France,5,5,12,2,7,6,16,5,0,55%,1,0,1,508,426,84%,20,Australia,1,3,6,2,4,2,19,1,0,45%,3,0,4,407,321,79%,2,1,W,L,3,26.9,949000000.0,1786,37,27.7,34750000.0,1487
10,21,Denmark,5,5,10,0,7,3,7,3,1,47%,2,0,3,453,388,86%,20,Australia,4,4,13,5,8,5,5,5,0,53%,0,0,5,504,423,84%,1,1,D,D,9,26.5,302500000.0,1655,37,27.7,34750000.0,1487
11,2,France,4,6,12,2,9,3,11,5,0,43%,2,0,2,396,308,78%,30,Peru,2,6,10,2,3,7,15,3,1,57%,2,0,3,513,416,81%,1,0,W,L,3,26.9,949000000.0,1786,22,29.2,59580000.0,1563
12,20,Australia,2,7,14,5,9,5,14,8,3,57%,4,0,1,526,459,87%,30,Peru,3,1,4,0,3,1,12,3,1,43%,2,0,2,409,329,80%,0,2,L,W,37,27.7,34750000.0,1487,22,29.2,59580000.0,1563
13,7,Uruguay,3,2,5,0,3,2,13,2,0,32%,0,0,4,273,183,67%,27,Portugal,5,8,20,7,6,14,13,10,1,68%,1,0,1,544,471,87%,2,1,W,L,16,27.6,388600000.0,1614,8,27.2,780500000.0,1660
14,22,Iran,2,4,7,1,3,4,16,1,1,26%,2,0,3,213,139,65%,27,Portugal,4,7,14,3,5,9,11,5,1,74%,4,0,1,608,528,87%,1,1,D,D,21,28.1,74380000.0,1573,8,27.2,780500000.0,1660
15,7,Uruguay,4,6,11,1,6,5,17,4,0,38%,2,0,0,311,199,64%,2,France,2,8,11,1,3,8,15,3,0,62%,2,0,4,516,417,81%,0,2,L,W,16,27.6,388600000.0,1614,3,26.9,949000000.0,1786
16,21,Denmark,2,1,5,2,1,4,10,4,1,32%,1,0,3,322,228,71%,2,France,3,7,11,1,4,7,10,2,1,68%,0,0,2,657,574,87%,0,0,D,D,9,26.5,302500000.0,1655,3,26.9,949000000.0,1786
